id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520,20141013T000000,221900.0,3,1.0,0.06716981132075472,0.003107510786939247,1.0,0,0,3,7,0.09758771929824563,0,1955,0,98178,0.5714975068361099,0.21760797342193428,1340,5650
6414100192,20141209T000000,538000.0,3,2.25,0.17207547169811324,0.004071868910293493,2.0,0,0,3,7,0.206140350877193,400,1951,1991,98125,0.9089593051310914,0.1661129568106361,1690,7639
5631500400,20150225T000000,180000.0,2,1.0,0.03622641509433963,0.005742534553642117,1.0,0,0,3,6,0.05263157894736842,0,1933,0,98028,0.9361428341644,0.2375415282392055,2720,8062
2487200875,20141209T000000,604000.0,4,3.0,0.12603773584905661,0.002713771603408933,1.0,0,0,5,7,0.08333333333333333,910,1965,0,98136,0.5869390381212867,0.1046511627907023,1360,5000
1954400510,20150218T000000,510000.0,3,2.0,0.1049056603773585,0.0045794895807525745,1.0,0,0,3,8,0.1524122807017544,0,1987,0,98074,0.7413543509731397,0.393687707641206,1800,7503
7237550310,20140512T000000,1225000.0,4,4.5,0.38716981132075473,0.06142937015662944,1.0,0,0,3,11,0.39473684210526316,1530,2001,0,98053,0.8045681196718846,0.4269102990033389,4760,101930
1321400060,20140627T000000,257500.0,3,2.25,0.10754716981132077,0.003815635564703765,2.0,0,0,3,7,0.15625,0,1995,0,98003,0.24738619913141235,0.15946843853821235,2238,6819
2008000270,20150115T000000,291850.0,3,1.5,0.05811320754716981,0.005567472055118639,1.0,0,0,3,7,0.08442982456140351,0,1963,0,98198,0.40791378478365914,0.16943521594686217,1650,9711
2414600126,20150415T000000,229500.0,3,1.0,0.11245283018867926,0.0042099805008241255,1.0,0,0,3,7,0.08333333333333333,730,1960,0,98146,0.5732668489625325,0.15116279069768268,1780,8113
3793500160,20150312T000000,323000.0,3,2.5,0.12075471698113209,0.0036587456438816864,2.0,0,0,3,7,0.17543859649122806,0,2003,0,98038,0.34180472896896674,0.4053156146179475,2390,7570
1736800520,20150403T000000,662500.0,3,2.5,0.24679245283018872,0.005618961025272603,1.0,0,0,3,8,0.17214912280701755,1700,1965,0,98007,0.7154576162136266,0.31063122923589503,2210,8925
9212900260,20140527T000000,468000.0,2,1.0,0.06566037735849056,0.0033195241934555696,1.0,0,0,4,7,0.0625,300,1942,0,98115,0.8590960270226873,0.18853820598008042,1330,6000
114101516,20140528T000000,310000.0,3,1.0,0.0860377358490566,0.01174009094769387,1.5,0,0,4,7,0.125,0,1927,0,98028,0.9649348560399034,0.24086378737543157,1780,12697
6054650070,20141007T000000,400000.0,3,1.75,0.08150943396226415,0.005548693724827193,1.0,0,0,4,7,0.11842105263157894,0,1977,0,98074,0.7347595303200904,0.393687707641206,1370,10208
1175000570,20150312T000000,530000.0,5,2.0,0.11471698113207547,0.0026229087149019373,1.5,0,0,3,7,0.16666666666666669,0,1900,0,98107,0.8269261701785524,0.10382059800664933,1360,4850
9297300055,20150124T000000,650000.0,4,3.0,0.2007547169811321,0.002713771603408933,2.0,0,3,3,9,0.18530701754385964,970,1979,0,98126,0.6683287759369421,0.11960132890366992,2140,4000
1875500060,20140731T000000,395000.0,3,2.0,0.12075471698113209,0.00818977501743053,2.0,0,0,3,7,0.17543859649122806,0,1994,0,98019,0.9197362071738837,0.46262458471761647,1890,14018
6865200140,20140529T000000,485000.0,4,1.0,0.09886792452830188,0.0022897447903762872,1.5,0,0,4,7,0.14364035087719296,0,1916,0,98103,0.8185620073990663,0.14617940199336488,1610,4300
16000397,20141205T000000,189000.0,2,1.0,0.06867924528301887,0.005651671665135122,1.0,0,0,4,7,0.09978070175438596,0,1921,0,98002,0.24609940485765947,0.25664451827243795,1060,5095
7983200060,20150424T000000,230000.0,3,1.0,0.07245283018867925,0.005605634468291577,1.0,0,0,4,7,0.10526315789473685,0,1969,0,98003,0.28695512304970805,0.17691029900333888,1280,8850
6300500875,20140514T000000,385000.0,4,1.75,0.10037735849056605,0.0027016565516080004,1.0,0,0,4,7,0.0625,760,1947,0,98133,0.8792021875502769,0.1478405315614708,1400,4980
2524049179,20140826T000000,2000000.0,3,2.75,0.20830188679245284,0.026863310110798205,1.0,0,4,3,9,0.22368421052631576,720,1968,0,98040,0.6043107608171141,0.2375415282392055,4110,20336
7137970340,20140703T000000,285000.0,5,2.5,0.14943396226415095,0.0035012499704695607,2.0,0,0,3,8,0.21710526315789475,0,1995,0,98092,0.2745697281647068,0.2906976744186096,2240,7005
8091400200,20140516T000000,252700.0,2,1.5,0.05886792452830189,0.005526280878995468,1.0,0,0,3,7,0.08552631578947369,0,1985,0,98030,0.31751648705163404,0.2931893687707827,1220,8386
3814700200,20141120T000000,329000.0,3,2.25,0.16301886792452833,0.003622400488478888,2.0,0,0,4,8,0.2368421052631579,0,1985,0,98030,0.35065143960109424,0.2882059800664507,2200,6865
1202000200,20141103T000000,233000.0,3,2.0,0.10716981132075472,0.002530228568624802,1.5,0,0,5,6,0.1557017543859649,0,1941,0,98002,0.23950458420461018,0.25,1030,4705
1794500383,20140626T000000,937000.0,3,1.75,0.16301886792452833,0.0013150888729912486,2.0,0,0,3,8,0.1600877192982456,700,1915,0,98119,0.7764194949332506,0.13205980066446443,1760,3573
3303700376,20141201T000000,667000.0,3,1.0,0.08377358490566038,0.0006427034980394817,1.5,0,0,5,8,0.12171052631578948,0,1909,0,98112,0.7498793630368397,0.17026578073091514,1860,3861
5101402488,20140624T000000,438000.0,3,1.75,0.09283018867924529,0.0035497101776732916,1.0,0,0,3,7,0.054824561403508776,730,1948,0,98115,0.8671384912337174,0.1785714285714306,1520,6235
1873100390,20150302T000000,719000.0,4,2.5,0.17207547169811324,0.004030071981580275,2.0,0,0,3,8,0.25,0,2005,0,98052,0.8869229531928653,0.3397009966777489,2630,6026
8562750320,20141110T000000,580500.0,3,2.5,0.15320754716981133,0.002095903961561363,2.0,0,0,3,8,0.2225877192982456,0,2003,0,98027,0.6163744571336736,0.3729235880398818,2580,3980
